"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98040,"$100,000 under $200,000",2440,890,1360,160,4910,1110,490,0,60,830,410
98040,"$200,000 or more",4860,500,4160,170,14420,1590,1300,30,80,910,1790
,,,,,,,,,,,,
98042,,24400,11170,10550,2330,47570,5780,3400,40,800,3460,1250
98042,"$1 under $25,000",5430,4370,540,450,5720,980,750,0,90,270,80
98042,"$25,000 under $50,000",5050,3240,920,800,8310,950,600,0,160,670,110
98042,"$50,000 under $75,000",3630,1800,1220,510,6990,920,480,0,140,650,120
98042,"$75,000 under $100,000",2770,820,1610,280,6450,820,380,0,140,580,160
98042,"$100,000 under $200,000",5790,810,4690,260,15380,1590,880,40,230,1010,400
98042,"$200,000 or more",1730,130,1570,30,4720,520,310,0,40,280,380
,,,,,,,,,,,,
98043,,11260,6410,3570,1070,18880,2500,1580,0,380,1330,400
98043,"$1 under $25,000",2640,2110,250,240,3000,630,460,0,50,160,30
98043,"$25,000 under $50,000",2830,1970,400,380,4140,560,330,0,100,360,50
98043,"$50,000 under $75,000",2080,1260,530,240,3400,480,250,0,80,310,50
98043,"$75,000 under $100,000",1330,550,630,120,2670,340,170,0,60,210,50
98043,"$100,000 under $200,000",1970,440,1440,90,4650,420,290,0,90,250,140
98043,"$200,000 or more",410,80,320,0,1020,70,80,0,0,40,80
,,,,,,,,,,,,
98045,,8090,3670,3850,490,15700,1840,1230,30,300,1050,620
98045,"$1 under $25,000",1580,1370,120,80,1300,310,170,0,0,80,30
98045,"$25,000 under $50,000",1210,910,180,110,1680,240,140,0,60,170,30
98045,"$50,000 under $75,000",980,580,270,110,1620,260,120,0,50,180,50
98045,"$75,000 under $100,000",790,330,380,70,1530,240,110,0,50,180,60
98045,"$100,000 under $200,000",2130,370,1640,90,5400,530,420,30,100,330,170
98045,"$200,000 or more",1400,110,1260,30,4170,260,270,0,40,110,280
,,,,,,,,,,,,
98047,,3300,1640,1060,520,6480,490,380,0,140,260,90
