"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98031,,20310,9770,7580,2630,39680,12980,3870,1342030,3100,0,630,2070,720,2530
98031,"$1 under $25,000",5420,3990,660,690,7050,2060,810,69965,980,0,90,180,60,860
98031,"$25,000 under $50,000",5570,3170,1210,1070,10270,3560,820,204860,790,0,180,510,110,630
98031,"$50,000 under $75,000",3230,1470,1200,480,6580,2170,690,197419,420,0,140,450,110,330
98031,"$75,000 under $100,000",2060,600,1210,220,5020,1760,500,178084,320,0,70,330,100,250
98031,"$100,000 under $200,000",3280,470,2630,170,8730,2820,830,444321,470,0,130,500,200,350
98031,"$200,000 or more",750,70,670,** ,2030,610,220,247381,120,0,20,100,140,110
,,,,,,,,,,,,,,,
98032,,17630,9410,4960,2940,33210,11310,2970,1047145,2390,0,580,1540,500,1880
98032,"$1 under $25,000",4930,3430,490,940,7350,2560,700,66838,870,0,90,160,50,740
98032,"$25,000 under $50,000",5440,3150,920,1260,10140,3810,690,200478,640,0,180,400,80,470
98032,"$50,000 under $75,000",3000,1560,910,470,5890,1980,540,183427,320,0,120,330,80,230
98032,"$75,000 under $100,000",1740,680,860,160,3850,1260,390,149917,220,0,80,280,60,180
98032,"$100,000 under $200,000",2060,510,1420,110,4840,1360,510,273136,260,0,110,310,130,190
98032,"$200,000 or more",460,80,360,** ,1140,340,140,173349,80,0,** ,60,100,70
,,,,,,,,,,,,,,,
98033,,19980,9740,8950,1060,37760,10080,4730,4917685,3540,30,490,2740,2600,2940
98033,"$1 under $25,000",3200,2780,240,150,2790,410,670,35559,530,** ,40,160,80,450
98033,"$25,000 under $50,000",2410,1840,340,180,3190,500,570,89948,400,** ,80,380,120,310
98033,"$50,000 under $75,000",2170,1550,440,150,3100,510,570,135021,310,** ,80,390,130,240
98033,"$75,000 under $100,000",1660,960,540,130,2760,560,520,145165,280,0,50,370,150,220
98033,"$100,000 under $200,000",4390,1670,2430,250,9010,2200,1330,635329,810,30,130,850,590,640
98033,"$200,000 or more",6150,940,4960,200,16910,5900,1070,3876663,1210,** ,110,590,1530,1080
,,,,,,,,,,,,,,,
98034,,25440,13130,10220,1770,46120,11890,5250,3139329,4120,40,880,2960,1610,3230
98034,"$1 under $25,000",5020,4150,470,360,5170,970,940,59510,900,** ,110,240,100,750
98034,"$25,000 under $50,000",4750,3440,710,510,6850,1450,810,176853,700,40,190,520,120,530
98034,"$50,000 under $75,000",3620,2280,920,340,5700,1170,860,224738,490,** ,130,560,130,380
98034,"$75,000 under $100,000",2730,1240,1230,220,5190,1250,740,236930,390,** ,120,500,150,300
98034,"$100,000 under $200,000",5710,1580,3830,250,13160,3650,1350,809050,1010,** ,240,850,470,760
98034,"$200,000 or more",3610,440,3060,90,10050,3400,550,1632248,630,** ,90,290,640,510
,,,,,,,,,,,,,,,
98036,,20020,9990,7750,1920,37330,10700,4690,1563573,3030,0,590,2530,1040,2470
98036,"$1 under $25,000",4930,3850,560,440,5670,1200,1110,61897,790,0,70,250,80,690
98036,"$25,000 under $50,000",4750,3090,800,760,7620,2150,880,174870,630,0,140,580,100,490
98036,"$50,000 under $75,000",3000,1510,1040,360,5670,1640,810,184176,400,0,100,530,120,310
98036,"$75,000 under $100,000",2090,740,1120,190,4520,1320,640,181588,330,0,90,440,110,250
98036,"$100,000 under $200,000",4020,680,3150,150,10400,3240,990,558675,660,0,160,590,360,540
98036,"$200,000 or more",1230,120,1080,20,3450,1150,260,402367,220,0,30,140,270,190
,,,,,,,,,,,,,,,
98037,,14180,7260,5180,1430,26100,7560,3060,1026491,2100,0,470,1640,640,1690
98037,"$1 under $25,000",3590,2780,410,320,4160,890,750,45456,620,0,70,190,50,520
98037,"$25,000 under $50,000",3640,2370,620,530,5790,1590,610,133585,460,0,110,390,80,360
98037,"$50,000 under $75,000",2260,1150,760,290,4200,1190,540,138452,310,0,80,330,80,250
98037,"$75,000 under $100,000",1470,500,810,140,3240,970,390,128232,180,0,70,270,70,140
98037,"$100,000 under $200,000",2490,390,1950,150,6600,2170,620,341647,420,0,140,380,190,320
98037,"$200,000 or more",730,70,630,** ,2110,750,150,239119,110,0,** ,80,170,100
,,,,,,,,,,,,,,,
98038,,16130,6370,8240,1310,35380,12320,3520,1773980,2260,40,550,2240,1060,1800
98038,"$1 under $25,000",3190,2630,260,260,2860,620,580,36970,350,** ,50,180,50,300
98038,"$25,000 under $50,000",2340,1540,430,320,3640,940,550,86283,260,** ,100,440,70,200
98038,"$50,000 under $75,000",1960,1010,640,260,3680,1090,580,121734,250,** ,70,460,90,190
98038,"$75,000 under $100,000",1900,580,1100,200,4520,1530,520,166834,270,** ,90,380,100,200
98038,"$100,000 under $200,000",4900,520,4110,230,14680,5670,980,694258,790,40,190,630,350,610
98038,"$200,000 or more",1840,90,1700,40,6000,2470,310,667901,340,** ,50,150,400,300
,,,,,,,,,,,,,,,
98039,,1540,640,790,60,3040,990,490,1808237,340,0,30,310,510,330
98039,"$1 under $25,000",290,260,30,20,160,20,40,2721,20,0,** ,30,20,40
98039,"$25,000 under $50,000",120,90,** ,** ,160,30,20,4647,20,0,** ,** ,** ,** 
98039,"$50,000 under $75,000",120,80,30,** ,180,40,40,7453,30,0,30,30,30,30
98039,"$75,000 under $100,000",80,50,20,20,130,20,30,7350,** ,0,** ,30,** ,** 
98039,"$100,000 under $200,000",210,70,120,** ,450,120,110,31295,60,0,** ,80,60,50
98039,"$200,000 or more",720,90,590,20,1960,760,250,1754771,210,0,** ,140,400,210
,,,,,,,,,,,,,,,
98040,,12650,5580,6260,650,25090,7480,4130,4405904,2590,40,230,2620,2630,2380
98040,"$1 under $25,000",2270,2030,140,70,1590,200,380,22095,300,** ,** ,110,100,270
98040,"$25,000 under $50,000",1310,1010,190,80,1660,240,350,48734,200,** ,50,260,90,170
98040,"$50,000 under $75,000",1110,760,250,80,1630,280,390,69120,170,** ,40,280,110,130
98040,"$75,000 under $100,000",910,540,280,80,1450,270,380,79111,150,0,** ,280,100,110
98040,"$100,000 under $200,000",2440,820,1420,170,5120,1280,1120,351787,540,** ,70,820,440,440
98040,"$200,000 or more",4610,420,3980,170,13640,5210,1510,3835057,1230,40,70,870,1790,1260
,,,,,,,,,,,,,,,
98042,,23420,10390,10430,2280,46620,14320,5550,2012396,3290,40,760,3370,1260,2580
98042,"$1 under $25,000",5230,4190,500,470,5570,1270,960,64185,710,** ,80,280,90,570
98042,"$25,000 under $50,000",4800,2980,940,800,8140,2470,900,177746,590,** ,150,660,100,470
98042,"$50,000 under $75,000",3480,1590,1290,510,7100,2360,880,214976,450,** ,130,630,130,360
98042,"$75,000 under $100,000",2790,810,1680,250,6510,2050,830,242994,410,** ,120,590,160,310
98042,"$100,000 under $200,000",5560,710,4600,220,14990,4840,1530,766627,870,40,240,990,410,650
98042,"$200,000 or more",1560,110,1420,30,4310,1330,450,545868,260,** ,40,220,370,220
,,,,,,,,,,,,,,,
98043,,11040,6210,3540,1070,18710,4640,2440,726517,1580,0,370,1300,390,1280
98043,"$1 under $25,000",2670,2130,250,250,3010,560,620,33498,450,0,50,160,30,390
98043,"$25,000 under $50,000",2830,1920,420,400,4250,1030,550,105616,330,0,80,350,40,260
98043,"$50,000 under $75,000",2080,1200,580,250,3550,900,490,128044,260,0,80,320,50,210
98043,"$75,000 under $100,000",1300,530,650,100,2620,680,360,112554,190,0,60,220,60,150
98043,"$100,000 under $200,000",1860,380,1400,70,4500,1230,360,248721,290,0,100,220,150,220
98043,"$200,000 or more",300,50,240,** ,780,240,60,98084,60,0,** ,30,60,50
,,,,,,,,,,,,,,,
98045,,7770,3480,3710,510,15130,4300,1760,1002194,1190,30,260,1030,650,970
98045,"$1 under $25,000",1560,1360,120,80,1280,190,300,17756,180,** ,20,90,40,160
98045,"$25,000 under $50,000",1230,880,190,140,1730,340,250,45566,130,** ,40,200,30,120
98045,"$50,000 under $75,000",920,520,270,110,1540,360,250,57080,120,** ,40,170,50,100
98045,"$75,000 under $100,000",750,290,370,70,1450,330,230,65646,110,30,40,150,60,80
98045,"$100,000 under $200,000",2140,340,1700,110,5610,1780,510,305247,420,** ,90,320,190,330
98045,"$200,000 or more",1170,90,1060,** ,3520,1300,220,510899,230,** ,30,100,280,180
,,,,,,,,,,,,,,,
98047,,3230,1590,1040,540,6490,2380,500,182104,380,0,120,240,80,300
98047,"$1 under $25,000",860,630,90,130,1160,340,130,11653,120,0,20,30,** ,90
