"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98039,"$1 under $25,000",270,220,50,30,220,60,0,40,30,30
98039,"$25,000 under $50,000",130,100,0,0,180,30,0,0,0,0
98039,"$50,000 under $75,000",100,70,50,0,160,40,0,30,30,30
98039,"$75,000 under $100,000",90,60,0,0,110,30,0,0,30,0
98039,"$100,000 under $200,000",200,70,110,30,390,90,0,20,80,50
98039,"$200,000 or more",720,100,590,0,2030,250,0,50,150,350
,,,,,,,,,,,
98040,,12630,5700,6140,570,24920,4130,20,1460,2580,2410
98040,"$1 under $25,000",2220,1960,160,60,1690,440,0,220,140,100
98040,"$25,000 under $50,000",1250,950,200,70,1600,370,0,290,250,90
98040,"$50,000 under $75,000",1150,840,200,70,1570,400,0,160,300,80
98040,"$75,000 under $100,000",950,570,290,60,1480,390,0,110,300,100
98040,"$100,000 under $200,000",2360,850,1300,170,4720,1100,20,270,820,430
98040,"$200,000 or more",4700,530,3990,140,13860,1430,0,410,770,1610
,,,,,,,,,,,
98042,,24330,11380,10410,2180,46880,5960,30,5990,3550,1240
98042,"$1 under $25,000",5130,4170,510,400,5810,1100,0,990,320,80
98042,"$25,000 under $50,000",5130,3300,970,750,8270,1030,0,1530,740,130
98042,"$50,000 under $75,000",3710,1950,1180,480,6800,910,0,940,640,120
98042,"$75,000 under $100,000",2740,930,1510,250,6080,820,30,730,580,150
98042,"$100,000 under $200,000",5760,880,4570,260,14870,1590,0,1510,1000,390
98042,"$200,000 or more",1860,150,1670,40,5050,510,0,290,270,370
,,,,,,,,,,,
98043,,11300,6540,3510,1010,18710,2560,0,2840,1360,380
98043,"$1 under $25,000",2490,2000,230,210,2930,670,0,550,190,30
98043,"$25,000 under $50,000",2760,1980,340,370,3880,550,0,830,340,50
98043,"$50,000 under $75,000",2120,1290,540,220,3380,510,0,530,330,60
98043,"$75,000 under $100,000",1360,610,630,100,2610,330,0,330,210,50
98043,"$100,000 under $200,000",2080,550,1410,110,4730,430,0,520,250,120
98043,"$200,000 or more",490,110,360,0,1180,70,0,80,40,70
,,,,,,,,,,,
98045,,8090,3620,3850,470,15720,1880,20,1770,1090,630
98045,"$1 under $25,000",1500,1280,140,70,1390,330,0,280,110,30
98045,"$25,000 under $50,000",1160,870,170,90,1570,260,20,370,190,30
98045,"$50,000 under $75,000",970,570,240,120,1530,250,0,240,170,50
98045,"$75,000 under $100,000",780,340,360,60,1450,260,0,190,180,60
98045,"$100,000 under $200,000",2060,430,1510,80,5050,520,0,470,320,150
98045,"$200,000 or more",1620,130,1430,50,4730,260,0,220,120,310
,,,,,,,,,,,
98047,,3270,1660,1050,520,6380,550,0,960,280,80
98047,"$1 under $25,000",810,600,80,120,1120,130,0,170,40,0
98047,"$25,000 under $50,000",980,590,150,220,1730,120,0,310,70,0
98047,"$50,000 under $75,000",630,290,220,110,1320,120,0,190,80,40
98047,"$75,000 under $100,000",350,110,200,40,850,80,0,110,40,0
98047,"$100,000 under $200,000",460,70,370,30,1260,100,0,180,50,40
98047,"$200,000 or more",40,0,30,0,100,0,0,0,0,0
,,,,,,,,,,,
98051,,1910,870,940,100,3740,540,0,440,350,140
98051,"$1 under $25,000",390,330,40,0,380,90,0,70,30,0
98051,"$25,000 under $50,000",330,230,70,50,480,110,0,80,80,0
98051,"$50,000 under $75,000",250,140,90,30,420,90,0,60,60,30
98051,"$75,000 under $100,000",190,70,120,0,410,60,0,60,50,0
98051,"$100,000 under $200,000",460,80,360,20,1160,140,0,130,100,40
98051,"$200,000 or more",290,20,260,0,890,50,0,40,30,70
,,,,,,,,,,,
98052,,35340,17020,16190,1620,69160,5640,0,4490,3160,2050
98052,"$1 under $25,000",5270,4380,520,280,5400,1070,0,840,280,110
98052,"$25,000 under $50,000",4470,3290,680,400,6230,790,0,1180,540,110
98052,"$50,000 under $75,000",3490,2400,790,220,5220,730,0,610,530,120
98052,"$75,000 under $100,000",2930,1540,1210,150,5240,650,0,370,450,130
